Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Lecanicillium muscarium;Micro-organismes;Préparation fongique;Insecticides;Aérienne;Parasitisme;Hémiptères;Aleurodes;Aucun avis émis;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Macrolophus pygmaeus;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Macrolophus avec nourrissage;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;4SYSLEG;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;Bon;Légumes;Cultures hiver;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Laminarine;Substances naturelles;Origine végétale;Fongicides;Aérienne;Stimulateur des défenses des plantes;Oomycètes;Mildiou;Sur cultures d'hiver;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;4SYSLEG;;;;
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Botrytis cinerea;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et Stimulateur de défense des plantes contre sclérotinose;Ascomycètes;Sclérotinia;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Noctuelles;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Coniothyrium minitans;Micro-organismes;Préparation fongique;Fongicides;Sol;Parasites des sclérotes;Ascomycètes;Sclérotinia;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
